nohup: ignoring input
03:58:21 │ INFO     │ Loaded XGBoost degradation model
03:58:21 │ INFO     │ Circuits: ['albert_park', 'bahrain', 'baku', 'barcelona', 'cota', 'hungaroring', 'imola', 'interlagos', 'jeddah', 'las_vegas', 'lusail', 'mexico', 'miami', 'monaco', 'montreal', 'monza', 'shanghai', 'silverstone', 'singapore', 'spa', 'spielberg', 'suzuka', 'yas_marina', 'zandvoort']
03:58:21 │ INFO     │ Drivers: 20
03:58:21 │ INFO     │ Sims per combo: 50
03:58:21 │ INFO     │ Total combos: 9600
03:58:21 │ INFO     │ ============================================================
07:11:55 │ INFO     │   300/400 (75%) — 862s elapsed, ~287s remaining
07:12:51 │ INFO     │   320/400 (80%) — 919s elapsed, ~230s remaining
07:13:48 │ INFO     │   340/400 (85%) — 975s elapsed, ~172s remaining
07:14:45 │ INFO     │   360/400 (90%) — 1032s elapsed, ~115s remaining
07:15:41 │ INFO     │   380/400 (95%) — 1089s elapsed, ~57s remaining
07:16:38 │ INFO     │   400/400 (100%) — 1146s elapsed, ~0s remaining
07:16:38 │ INFO     │   ✓ Mexico City Grand Prix: 400 combos in 1146s
07:16:38 │ INFO     │   Saved: results/scenarios/scenarios_mexico.json
07:16:38 │ INFO     │ ============================================================
07:16:38 │ INFO     │   PRECOMPUTING: Miami Grand Prix
07:16:38 │ INFO     │   20 drivers × 20 positions = 400 combos
07:16:38 │ INFO     │ ============================================================
07:17:25 │ INFO     │   20/400 (5%) — 47s elapsed, ~890s remaining
07:18:12 │ INFO     │   40/400 (10%) — 93s elapsed, ~840s remaining
07:18:58 │ INFO     │   60/400 (15%) — 140s elapsed, ~792s remaining
07:19:45 │ INFO     │   80/400 (20%) — 187s elapsed, ~746s remaining
